chart_week,current_week,title,performer,spotify_link
2022-08-06,4,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-08-06,5,Wait For U,Future Featuring Drake & Tems,
2022-08-13,1,Break My Soul,Beyonce,https://open.spotify.com/track/5pyoxDZ1PX0KxBxiRVxA4U
2022-08-13,2,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-08-13,3,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-08-13,4,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
2022-08-13,5,Wait For U,Future Featuring Drake & Tems,
2022-08-20,1,Break My Soul,Beyonce,https://open.spotify.com/track/5pyoxDZ1PX0KxBxiRVxA4U
2022-08-20,2,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-08-20,3,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-08-20,4,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
2022-08-20,5,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,
2022-08-27,1,Super Freaky Girl,Nicki Minaj,https://open.spotify.com/track/4C6Uex2ILwJi9sZXRdmqXp
2022-08-27,2,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-08-27,3,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-08-27,4,Break My Soul,Beyonce,https://open.spotify.com/track/5pyoxDZ1PX0KxBxiRVxA4U
2022-08-27,5,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
2022-09-03,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-09-03,2,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-09-03,3,Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
2022-09-03,4,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
2022-09-03,5,Break My Soul,Beyonce,https://open.spotify.com/track/5pyoxDZ1PX0KxBxiRVxA4U
2022-09-10,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-09-10,2,Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
2022-09-10,3,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-09-10,4,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
2022-09-10,5,Sunroof,Nicky Youre & dazy,https://open.spotify.com/track/5YqEzk3C5c3UZ1D5fJUlXA
2022-09-17,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-09-17,2,Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
2022-09-17,3,Late Night Talking,Harry Styles,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
2022-09-17,4,Sunroof,Nicky Youre & dazy,https://open.spotify.com/track/5YqEzk3C5c3UZ1D5fJUlXA
